windspeed,date
2.623201395,2021-08-29 19:00:00
2.269831855,2021-08-29 20:00:00
2.590347841,2021-08-29 21:00:00
2.431405601,2021-08-29 22:00:00
2.416694307,2021-08-29 23:00:00
2.740197799,2021-08-30 00:00:00
2.687012533,2021-08-30 01:00:00
2.618651696,2021-08-30 02:00:00
2.704462232,2021-08-30 03:00:00
2.764716283,2021-08-30 04:00:00
1.744624305,2021-08-30 05:00:00
1.868993869,2021-08-30 06:00:00
2.34535561,2021-08-30 07:00:00
2.023275084,2021-08-30 08:00:00
1.584803696,2021-08-30 09:00:00
1.319459047,2021-08-30 10:00:00
1.076308281,2021-08-30 11:00:00
0.857099866,2021-08-30 12:00:00
0.896539564,2021-08-30 13:00:00
1.203657276,2021-08-30 14:00:00
1.398194312,2021-08-30 15:00:00
1.430168752,2021-08-30 16:00:00
1.299034913,2021-08-30 17:00:00
1.674790635,2021-08-30 18:00:00
2.190238948,2021-08-30 19:00:00
1.953502178,2021-08-30 20:00:00
1.828372621,2021-08-30 21:00:00
2.108845411,2021-08-30 22:00:00
2.34898196,2021-08-30 23:00:00
2.211187478,2021-08-31 00:00:00
2.238543659,2021-08-31 01:00:00
2.482522972,2021-08-31 02:00:00
2.626364562,2021-08-31 03:00:00
16.636470723058544,2021-08-31 04:00:00
1.871942532,2021-08-31 05:00:00
2.218351389,2021-08-31 06:00:00
2.172412161,2021-08-31 07:00:00
2.210640502,2021-08-31 08:00:00
2.158088935,2021-08-31 09:00:00
2.081600626,2021-08-31 10:00:00
2.161771093,2021-08-31 11:00:00
2.417308424,2021-08-31 12:00:00
